Date,Volume (mL),height (mm)
6/21,165,26.3
6/22,530,84.4
6/23,34.9,5.6
6/24,0,0.0
6/25,0,0.0
6/26,297.5,47.3
6/27,1017.2,161.9
6/28,260.9,41.5
6/29,53,8.4
6/30,5,0.8
7/1,415.8,66.2
7/2,79.1,12.6
7/3,0.5,0.1
7/4,54.2,8.6
7/5,360,57.3
7/6,18.2,2.9
7/7,196.9,31.3
7/8,429.3,68.3
7/9,148,23.6
7/10,0,0.0
7/11,0,0.0
7/12,629.2,100.1
7/13,0,0.0
7/14,0,0.0
7/15,904.1,143.9
7/16,1,0.2
7/17,0,0.0
7/18,30.9,4.9
7/19,0,0.0
7/20,0,0.0
7/21,0,0.0
7/22,0,0.0
7/23,0,0.0
7/24,0,0.0
